No,Hit,Name,Probability,E-value,P-value,Score,SS,Cols,Query HMM,Template,HMM,Query Coverage,Similarity,Identities,Organism
203,8jlz_r,"5-hydroxytryptamine receptor 6; gpcr, membrane protein; het: uql;",100.0,3e-29,4.3e-34,197.7,34.1,312,"[2, 318]",16-356,440,98.113,0.261,21.0,homo sapiens
204,6iiu_a,"soluble cytochrome b562,thromboxane a2 receptor,rubredoxin,thromboxane a2 receptor; gpcr, complex, antagonist, signaling protein; het: olc, clr, a8x; 2.5a ",100.0,5.6e-29,8.2e-34,198.3,36.0,304,"[2, 305]",121-484,484,95.597,0.18,14.0,escherichia coli
205,8hn8_r,"soluble cytochrome b562, histamine h4 receptor fusion; gpcr complex, agonist, histamine receptor, membrane protein; 3.0a ",100.0,3e-29,4.4e-34,203.4,34.9,305,"[2, 314]",164-549,549,95.912,0.317,21.0,homo sapiens
206,7ul4_a,"mu-type opioid receptor; antagonist, complex, membrane protein; het: ng0; 2.8a ",100.0,2.6e-29,3.8e-34,197.4,33.5,310,"[2, 318]",78-392,426,97.484,0.254,18.0,mus musculus
207,7vkt_a,"leukotriene b4 receptor 1; gpcr, membrane protein; het: ltb, y01, 8io;",100.0,8.8e-29,1.3e-33,189.2,35.6,301,"[2, 318]",8-321,352,94.654,0.222,18.0,homo sapiens
208,8ghv_d,"cannabinoid receptor 1; gpcr, membrane protein; het: zi5; 2.8a ",100.0,5.1e-29,7.5e-34,199.5,35.7,314,"[1, 318]",120-448,495,98.742,0.297,21.0,homo sapiens
209,5wqc_a,"orexin receptor type 2,glga glycogen synthase,orexin receptor type 2; g protein-coupled receptor, orexin neurotransmitters, orexin 2 receptor, orexin-a, orexin-b, empa, n-linked glycosylation, signaling protein; het: ola, 1pe, 7ma; 1.96a ",100.0,2.7e-29,4e-34,204.1,34.6,309,"[4, 314]",53-560,560,97.17,0.339,25.0,homo sapiens
210,6lfo_r,"c-x-c chemokine receptor type 2; g protein coupled-receptor, membrane protein; het: clr; 3.4a ",100.0,1.4e-28,2e-33,188.8,36.8,302,"[2, 318]",38-350,360,94.969,0.224,19.0,homo sapiens
211,2lnl_a,"c-x-c chemokine receptor type 1; g protein coupled receptor, gpcr, chemokine, membrane protein, transmembrane, 7tm, phospholipid, signaling, signaling protein; nmr ",100.0,1.1e-28,1.6e-33,185.4,35.4,289,"[2, 305]",10-309,309,90.881,0.244,20.0,homo sapiens
212,6wha_a,"soluble cytochrome b562,5-hydroxytryptamine receptor 2a chimera; 5ht2a, g protein, 25-cn-nboh, gpcr, cryo-em, membrane protein-immune system complex; het: u0g;",100.0,3e-29,4.4e-34,201.0,34.3,297,"[2, 306]",157-497,497,93.396,0.358,25.0,escherichia coli
213,7cfn_r,"g-protein coupled bile acid receptor 1; gpcr, gpbar, complex, bile acid, membrane protein; het: fx0, clr, plm;",100.0,6.2e-29,9e-34,188.5,34.3,302,"[1, 318]",1-316,330,94.969,0.196,17.0,homo sapiens
214,7wz4_r,"probable g-protein coupled receptor 88; gpr88, signaling complex, cryo-em, membrane protein; 3.0a ",100.0,2.9e-30,4.2e-35,207.8,28.5,301,"[2, 318]",145-496,520,94.654,0.15,20.0,homo sapiens
215,8iyx_c,"probable g-protein coupled receptor 34,yl-365; inhibitor, gpr34 receptor in complex with the antagonist yl-365, membrane protein, membrane protein-inhibitor complex; het: s6r;",100.0,3.2e-29,4.7e-34,204.5,34.9,315,"[1, 318]",43-563,581,99.057,0.194,16.0,homo sapiens
216,8u4o_r,"c-x-c chemokine receptor type 4; gpcr, chemokine receptor, chemokine, signaling protein; het: clr;",100.0,4.5e-29,6.6e-34,204.8,35.8,300,"[2, 318]",46-356,632,94.34,0.197,18.0,homo sapiens
217,2rh1_a,"beta-2-adrenergic receptor/t4-lysozyme chimera; gpcr, 7tm, adrenergic, fusion, lipidic cubic phase, lipidic, mesophase, cholesterol, membrane protein, membrane protein - hydrolase; het: bu1, so4, clr, plm, 12p, cau, glc; 2.4a {homo sapiens} scop: d.2.1.3, f.13.1.3",100.0,4.3e-29,6.4e-34,200.0,35.0,315,"[2, 318]",30-496,500,99.057,0.327,24.0,"unknown"
218,7xv3_r,"probable g-protein coupled receptor 174; gpcr, membrane protein; het: wjs; 2.76a ",100.0,3.7e-29,5.4e-34,189.7,32.8,309,"[2, 318]",9-328,333,97.17,0.178,14.0,homo sapiens
219,8f76_a,"olfactory receptor 51e2; human olfactory receptor, g protein-coupled receptor, odorant-binding, sensory transduction, membrane protein;",100.0,2.2e-29,3.2e-34,190.9,31.6,298,"[2, 311]",23-330,330,93.711,0.156,16.0,homo sapiens
220,7wq4_r,"galanin receptor type 2; gpcr, galanin receptor 2, galanin, gq, membrane protein; het: clr;",100.0,1.1e-28,1.6e-33,191.1,36.0,308,"[2, 318]",15-328,387,96.855,0.305,22.0,homo sapiens
221,8f7x_r,"nociceptin receptor; mu opioid receptor, g protein coupled receptor, beta-endorphin, signaling protein; 3.28a ",100.0,1.6e-29,2.4e-34,194.4,31.1,310,"[2, 318]",40-354,369,97.484,0.211,19.0,homo sapiens
222,8iuk_r,"prostaglandin f2-alpha receptor; gpcr, ptgfr, pgf2-alpha, gq, membrane protein; het: ugu; 2.67a ",100.0,5.3e-29,7.7e-34,190.9,33.8,311,"[2, 318]",16-340,359,97.799,0.096,12.0,homo sapiens
223,7y89_a,"uracil nucleotide/cysteinyl leukotriene receptor; classa gpcr, complex, membrane protein;{homo sapiens} scop: f.13.1.0",100.0,5.3e-29,7.8e-34,185.6,32.8,281,"[3, 299]",1-293,293,88.365,0.267,18.0,"unknown"
224,8irv_r,"soluble cytochrome b562,d(1b) dopamine receptor; dopamine, dopamine receptor, gpcr, d5r, gs, rotigotine, parkinson's disease, restless legs syndrome, membrane protein; het: r5f, plm, clr;",100.0,2.5e-29,3.7e-34,206.5,33.9,316,"[2, 318]",170-534,617,99.371,0.366,24.0,homo sapiens
225,8zfj_r,"soluble cytochrome b562,g-protein coupled receptor 4,lgbit; gpcr, signaling protein;",100.0,3.1e-29,4.5e-34,206.4,34.4,304,"[2, 318]",144-459,642,95.597,0.175,15.0,homo sapiens
226,8j6j_r,"hydroxycarboxylic acid receptor 2,hydroxycarboxylic acid receptor 2; hydroxycarboxylic acid receptor 2, gpcr, niacin, mk-6892, gsk256073, membrane protein; het: okl;",100.0,4e-29,5.8e-34,199.8,34.2,301,"[2, 318]",17-330,488,94.654,0.218,17.0,homo sapiens
227,8ibv_r,"soluble cytochrome b562,motilin receptor,soluble cytochrome b562, motilin receptor; cryo-em, gpcr, motilin, motilin receptor, gq, complex, signaling protein; 3.19a ",100.0,1.2e-28,1.7e-33,206.1,38.3,315,"[2, 318]",184-547,741,99.057,0.173,16.0,escherichia coli
228,5tzr_a,"free fatty acid receptor 1,endolysin,free fatty acid receptor 1; ffar1, partial agonist, fatty acid binding protein-hydrolase complex; het: mk6, olc, 1pe; 2.2a ",100.0,3.4e-29,5e-34,200.3,33.7,317,"[2, 318]",8-487,491,99.686,0.019,12.0,homo sapiens
229,7cky_r,"d(1a) dopamine receptor; signaling complex, cell cycle; het: clr, g3u;",100.0,9.1e-29,1.3e-33,195.1,35.7,316,"[2, 318]",13-366,446,99.371,0.367,23.0,homo sapiens
230,8w1v_a,"beta-2 adrenergic receptor,endolysin; signal transduction, bitopic ligand, , signaling protein, gpcr, membrane protein; het: a1ae2, av0; 3.0a ",100.0,6.1e-29,9e-34,201.4,35.6,315,"[2, 318]",47-385,549,99.057,0.329,24.0,homo sapiens
231,6wwz_r,"c-c chemokine receptor type 6,c-c chemokine receptor type 6; gpcr, chemokine, chemokine receptor, complex, membrane protein; 3.34a ",100.0,9.3e-29,1.4e-33,199.5,36.2,304,"[2, 318]",181-497,529,95.597,0.191,16.0,rattus norvegicus
232,8jbf_b,"neuromedin-k receptor; g protein coupled receptor, neurokinin, cryo-em, peptide agonists, membrane protein;",100.0,6.9e-29,1e-33,192.9,34.3,311,"[2, 318]",75-392,394,97.799,0.253,19.0,homo sapiens
233,7srs_r,"5-hydroxytryptamine receptor 2b; 5-ht2b receptor, serotonin receptor, beta-arrestin1, arrestin, gpcr, lysergic acid diethylamide, lsd, cryoem, membrane protein; het: sep, 7ld, nag; 3.3a ",100.0,3.2e-29,4.7e-34,190.1,31.7,308,"[1, 318]",8-322,333,96.855,0.339,24.0,mus musculus
234,7yj4_r,"relaxin-3 receptor 2; human relaxin family peptide receptor 4, g protein-coupled receptor, ligand recognition, structural protein; 3.19a ",100.0,1.8e-28,2.7e-33,189.0,36.3,302,"[2, 318]",29-345,374,94.969,0.149,16.0,homo sapiens
235,7xtc_r,"soluble cytochrome b562,5-hydroxytryptamine receptor 7; gpcr, serotonin receptor, 5-ht, 5-ht7 receptor, signaling complex, cryo-em structure, ligand selectivity, g protein selectivity, structure-function; het: clr, 8k3; 3.2a ",100.0,4.8e-29,7e-34,203.2,34.7,307,"[2, 318]",215-564,576,96.541,0.392,25.0,homo sapiens
236,8efo_m,"mu-type opioid receptor; mu-opioid receptor, g protein, fentanyl, signaling protein; het: 8qy, clr; 2.8a ",100.0,7.9e-29,1.2e-33,190.6,34.1,303,"[2, 311]",59-366,367,95.283,0.257,18.0,homo sapiens
237,8kgg_r,"putative p2y purinoceptor 10; gpcr-g-protein complex, membrane protein; het: wjs; 3.06a ",100.0,1.4e-28,2.1e-33,187.0,35.1,305,"[2, 316]",24-339,339,95.912,0.123,16.0,homo sapiens
238,7eib_a,"b1 bradykinin receptor; bradykinin receptors, kinin, gpcr, membrane protein;",100.0,5.5e-29,8.1e-34,204.3,35.1,308,"[2, 316]",132-451,613,96.855,0.21,16.0,homo sapiens
239,8dcs_r,"endolysin,endolysin,beta-1 adrenergic receptor chimera; beta1-adrenergic receptor, cyanopindolol, partial agonist, signaling protein; het: p32; 2.5a ",100.0,1.2e-28,1.8e-33,198.0,36.4,310,"[2, 318]",194-506,508,97.484,0.353,25.0,bos taurus
240,6meo_b,"c-c chemokine receptor type 5; hiv coreceptor, membrane protein; het: a2g, tys, bma, man, nag; 3.9a ",100.0,5.7e-29,8.3e-34,187.2,32.5,284,"[2, 298]",20-313,313,89.308,0.265,18.0,human immunodeficiency virus 1
241,8thl_r,"endolysin,alpha-1a adrenergic receptor; alpha-1a-adrenergic receptor, epinephrine, signaling protein; het: ale;",100.0,1.4e-28,2e-33,197.5,36.6,305,"[1, 314]",188-503,503,95.912,0.412,26.0,homo sapiens
242,7x9y_r,"c-c chemokine receptor type 3; gpcr, ccr3, chemokine receptor, membrne protein, membrane protein;",100.0,1.1e-28,1.6e-33,189.1,34.5,303,"[2, 318]",24-337,355,95.283,0.223,16.0,homo sapiens
243,9ij9_r,"taste receptor type 2 member 14; gpcr, membrane protein; het: a1aei, clr; 2.7a ",100.0,5e-29,7.4e-34,188.1,32.2,308,"[8, 318]",2-316,317,96.855,0.093,13.0,homo sapiens
244,8k4o_e,"g protein-coupled receptor; kaposi's sarcoma herpesvirus gpcr, kshv-gpcr, chemokine, viral protein; 3.01a ",100.0,7.4e-29,1.1e-33,188.3,33.3,289,"[2, 305]",33-333,333,90.881,0.16,13.0,human gammaherpesvirus 8
245,8ea0_a,"muscarinic acetylcholine receptor m3; gpcr, ixo, active state, membrane protein, hm3r, iperoxo; het: y01, ixo;",100.0,6e-29,8.7e-34,202.1,34.7,313,"[2, 318]",13-355,568,98.428,0.37,22.0,homo sapiens
246,8vy7_r,"taste receptor type 2 member 14; gpcr, complex, signaling protein, taste receptor; het: a1aei, clr;",100.0,9.4e-29,1.4e-33,203.7,36.3,312,"[2, 318]",147-467,637,98.113,0.111,13.0,homo sapiens
247,6ko5_a,"chimera of soluble cytochrome b562 and growth hormone secretagogue receptor type 1; g-protein coupled receptor, ghrelin, antagonist-bound complex, membrane protein; het: 8qx; 3.3a ",100.0,6.8e-29,9.9e-34,195.0,33.9,299,"[5, 305]",114-424,424,94.025,0.225,18.0,mus musculus
248,7w0p_r,"soluble cytochrome b562,apelin receptor; complex, gpcr, membrane protein; 3.16a ",100.0,3.4e-29,5e-34,199.4,32.6,296,"[2, 303]",165-477,477,93.082,0.218,17.0,homo sapiens
249,6k41_r,"alpha-2a adrenergic receptor,endolysin,alpha-2b adrenergic receptor,alpha-2b adrenergic receptor; gpcr, complex, cryo-em, membrane protein; het: czx; 2.9a ",100.0,1.3e-28,1.9e-33,198.0,36.0,297,"[2, 305]",201-511,512,93.396,0.334,25.0,homo sapiens
250,8hti_r,"consensus olfactory receptor or52c; olfactory receptor, g protein, membrane protein, gpcr, olfactory gpcr; het: oca; 2.97a ",100.0,7.1e-29,1e-33,187.6,32.6,288,"[2, 301]",26-323,323,90.566,0.204,19.0,homo sapiens
